permit,Zip Code,count,weighted_count,weighted_count_sq
no,10009,2,0.0821917808219178,0.0033777444173390876
no,10011,1,0.03561643835616438,0.0012685306811784575
no,10019,5,0.3561643835616438,0.02537061362356915
no,10025,2,0.010958904109589041,6.004878964158379e-5
no,10026,7,0.03835616438356164,2.1017076374554324e-4
no,10027,4,0.13150684931506848,0.004323512854194032
no,10029,20,0.3835616438356163,0.007355976731094013
no,10031,15,0.24657534246575333,0.004053293300806904
no,10032,8,0.15342465753424658,0.0029423906924376064
no,10033,5,0.31506849315068497,0.019853631075248644
no,10034,4,0.021917808219178082,1.2009757928316758e-4
no,10036,9,2.7616438356164386,0.8474085194220307
no,10451,7,0.0958904109589041,0.001313567273409645
no,10452,10,0.10958904109589039,0.0012009757928316757
no,10453,2,0.0273972602739726,3.7530493525989863e-4
no,10454,2,0.005479452054794521,1.5012197410395947e-5
no,10455,18,0.4438356164383563,0.010943891912178644
no,10457,4,0.06575342465753424,0.001080878213548508
no,10458,28,1.3041095890410959,0.06073935072246199
no,10459,2,0.010958904109589041,6.004878964158379e-5
no,10460,6,0.01643835616438356,4.503659223118784e-5
no,10461,9,0.04931506849315068,2.70219553387127e-4
no,10462,13,0.10684931506849311,8.782135485081626e-4
no,10465,1,0.010958904109589041,1.2009757928316758e-4
no,10467,16,0.1753424657534247,0.0019215612685306816
no,10468,12,0.39452054794520536,0.012970538562582094
no,10469,6,0.01643835616438356,4.503659223118784e-5
no,10472,20,0.2191780821917809,0.0024019515856633514
no,10473,1,0.00821917808219178,6.755488834678175e-5
no,11101,5,0.136986301369863,0.003753049352598986
no,11102,13,0.03561643835616438,9.757928316757367e-5
no,11103,13,0.07123287671232877,3.9031713267029467e-4
no,11104,5,0.0547945205479452,6.004878964158379e-4
no,11106,12,0.06575342465753424,3.6029273784950275e-4
no,11201,2,0.0547945205479452,0.0015012197410395945
no,11203,3,0.008219178082191782,2.2518296115593922e-5
no,11206,3,0.008219178082191782,2.2518296115593922e-5
no,11208,14,0.038356164383561646,1.0508538187277165e-4
no,11209,7,0.03835616438356164,2.1017076374554324e-4
no,11214,10,0.273972602739726,0.007506098705197971
no,11219,6,0.01643835616438356,4.503659223118784e-5
no,11220,36,0.7890410958904114,0.01729405141677613
no,11221,7,0.01917808219178082,5.254269093638581e-5
no,11223,3,0.03287671232876713,3.6029273784950275e-4
no,11224,4,0.3835616438356164,0.036779883655470066
no,11226,9,0.1972602739726027,0.004323512854194032
no,11230,5,0.0273972602739726,1.5012197410395946e-4
no,11232,3,0.03287671232876713,3.6029273784950275e-4
no,11237,25,0.20547945205479443,0.0016888722086695442
no,11238,1,0.01643835616438356,2.70219553387127e-4
no,11354,3,0.1726027397260274,0.00993056858697692
no,11355,2,0.07671232876712329,0.002942390692437606
no,11367,6,0.01643835616438356,4.503659223118784e-5
no,11368,188,11.84657534246571,0.7464965284293468
no,11372,35,2.0136986301369877,0.11585663351473083
no,11373,52,1.1397260273972603,0.024980296490898873
no,11374,2,0.01643835616438356,1.351097766935635e-4
no,11379,1,0.005479452054794521,3.0024394820791894e-5
no,11385,22,0.1205479452054795,6.605366860574216e-4
no,11416,3,0.008219178082191782,2.2518296115593922e-5
no,11418,9,0.02465753424657534,6.755488834678175e-5
no,11419,3,0.03287671232876713,3.6029273784950275e-4
no,11432,6,0.049315068493150684,4.0532933008069054e-4
no,11433,6,0.01643835616438356,4.503659223118784e-5
no,11435,5,0.0410958904109589,3.377744417339088e-4
yes,10003,2,0.18082191780821918,0.016348282979921188
yes,10004,1,0.06027397260273973,0.0036329517733158195
yes,10009,1,0.0410958904109589,0.0016888722086695438
yes,10011,1,0.03561643835616438,0.0012685306811784575
yes,10014,1,0.005479452054794521,3.0024394820791894e-5
yes,10019,4,0.28493150684931506,0.02029649089885532
yes,10023,1,0.038356164383561646,0.001471195346218803
yes,10025,2,0.010958904109589041,6.004878964158379e-5
yes,10026,1,0.005479452054794521,3.0024394820791894e-5
yes,10027,2,0.06575342465753424,0.002161756427097016
yes,10031,1,0.01643835616438356,2.70219553387127e-4
yes,10032,2,0.038356164383561646,7.355976731094015e-4
yes,10033,2,0.12602739726027398,0.007941452430099458
yes,10036,2,0.6136986301369863,0.18831300431600678
yes,10451,3,0.0410958904109589,5.62957402889848e-4
yes,10452,4,0.043835616438356165,4.803903171326703e-4
yes,10453,1,0.0136986301369863,1.8765246762994932e-4
yes,10455,1,0.024657534246575342,6.079939951210358e-4
yes,10457,1,0.01643835616438356,2.70219553387127e-4
yes,10459,2,0.010958904109589041,6.004878964158379e-5
yes,10460,4,0.010958904109589041,3.0024394820791894e-5
yes,10461,5,0.0273972602739726,1.5012197410395946e-4
yes,10462,3,0.02465753424657534,2.0266466504034525e-4
yes,10467,3,0.03287671232876713,3.6029273784950275e-4
yes,10468,1,0.03287671232876712,0.001080878213548508
yes,10469,1,0.0027397260273972603,7.5060987051979735e-6
yes,10472,6,0.06575342465753424,7.205854756990054e-4
yes,10473,1,0.00821917808219178,6.755488834678175e-5
yes,11101,1,0.0273972602739726,7.506098705197973e-4
yes,11102,13,0.03561643835616438,9.757928316757367e-5
yes,11103,3,0.016438356164383564,9.007318446237569e-5
yes,11104,1,0.010958904109589041,1.2009757928316758e-4
yes,11106,7,0.03835616438356164,2.1017076374554324e-4
yes,11201,1,0.0273972602739726,7.506098705197973e-4
yes,11206,1,0.0027397260273972603,7.5060987051979735e-6
yes,11208,3,0.008219178082191782,2.2518296115593922e-5
yes,11209,8,0.04383561643835616,2.4019515856633512e-4
yes,11214,2,0.0547945205479452,0.0015012197410395945
yes,11216,1,0.0027397260273972603,7.5060987051979735e-6
yes,11219,4,0.010958904109589041,3.0024394820791894e-5
yes,11220,6,0.13150684931506848,0.0028823419027960216
yes,11221,1,0.0027397260273972603,7.5060987051979735e-6
yes,11223,3,0.03287671232876713,3.6029273784950275e-4
yes,11224,1,0.0958904109589041,0.009194970913867517
yes,11226,2,0.043835616438356165,9.607806342653406e-4
yes,11232,3,0.03287671232876713,3.6029273784950275e-4
yes,11237,3,0.02465753424657534,2.0266466504034525e-4
yes,11354,3,0.1726027397260274,0.00993056858697692
yes,11355,11,0.4219178082191781,0.016183148808406836
yes,11367,8,0.02191780821917808,6.004878964158378e-5
yes,11368,20,1.2602739726027399,0.0794145243009946
yes,11372,7,0.4027397260273972,0.023171326702946145
yes,11373,13,0.28493150684931506,0.006245074122724715
yes,11375,1,0.06575342465753424,0.004323512854194032
yes,11379,1,0.005479452054794521,3.0024394820791894e-5
yes,11385,12,0.06575342465753424,3.6029273784950275e-4
yes,11416,1,0.0027397260273972603,7.5060987051979735e-6
yes,11432,1,0.00821917808219178,6.755488834678175e-5
yes,11435,1,0.00821917808219178,6.755488834678175e-5
